<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;04.10.2018;0;1176000;1177900;1175900;1177900;1728
SPFB.RTS-12.18;1;04.10.2018;0;1177900;1179600;1177800;1178700;3128
SPFB.RTS-12.18;1;04.10.2018;0;1178800;1179300;1178000;1178100;1346
SPFB.RTS-12.18;1;04.10.2018;0;1178000;1178700;1177800;1178700;611
SPFB.RTS-12.18;1;04.10.2018;0;1178800;1179700;1178700;1179000;825
SPFB.RTS-12.18;1;04.10.2018;0;1179000;1179500;1178500;1178500;595
SPFB.RTS-12.18;1;04.10.2018;0;1178600;1179500;1178500;1179000;390
SPFB.RTS-12.18;1;04.10.2018;0;1179000;1179100;1178100;1178800;964
SPFB.RTS-12.18;1;04.10.2018;0;1178800;1179100;1178300;1178700;383
SPFB.RTS-12.18;1;04.10.2018;0;1178700;1178900;1177300;1177600;893
SPFB.RTS-12.18;1;04.10.2018;0;1177400;1178100;1176800;1177300;1274
SPFB.RTS-12.18;1;04.10.2018;0;1177300;1177900;1177200;1177400;427
SPFB.RTS-12.18;1;04.10.2018;0;1177400;1177900;1177200;1177800;240
SPFB.RTS-12.18;1;04.10.2018;0;1177700;1177800;1177300;1177400;335
SPFB.RTS-12.18;1;04.10.2018;0;1177400;1178000;1177400;1178000;158
SPFB.RTS-12.18;1;04.10.2018;0;1177900;1178000;1176300;1177200;1236
SPFB.RTS-12.18;1;04.10.2018;0;1177300;1177800;1176400;1176600;477
SPFB.RTS-12.18;1;04.10.2018;0;1176600;1176800;1175800;1176200;1218
SPFB.RTS-12.18;1;04.10.2018;0;1176200;1177300;1176100;1176800;1001
SPFB.RTS-12.18;1;04.10.2018;0;1176900;1177100;1176500;1176700;353
SPFB.RTS-12.18;1;04.10.2018;0;1176500;1176600;1175700;1175700;657
SPFB.RTS-12.18;1;04.10.2018;0;1175800;1176400;1175600;1175700;560
SPFB.RTS-12.18;1;04.10.2018;0;1175700;1175900;1174000;1174300;1745
SPFB.RTS-12.18;1;04.10.2018;0;1174200;1174800;1173100;1173600;1044
SPFB.RTS-12.18;1;04.10.2018;0;1173600;1173700;1172200;1172200;1356
SPFB.RTS-12.18;1;04.10.2018;0;1172300;1173100;1172100;1172800;1348
SPFB.RTS-12.18;1;04.10.2018;0;1172800;1173300;1172700;1173300;380
SPFB.RTS-12.18;1;04.10.2018;0;1173200;1173200;1171500;1171500;1252
SPFB.RTS-12.18;1;04.10.2018;0;1171500;1171500;1170600;1171000;2021
SPFB.RTS-12.18;1;04.10.2018;0;1171000;1171600;1170700;1171400;796
SPFB.RTS-12.18;1;04.10.2018;0;1171400;1171400;1170700;1170800;1222
SPFB.RTS-12.18;1;04.10.2018;0;1170900;1171100;1170300;1170900;888
SPFB.RTS-12.18;1;04.10.2018;0;1170900;1171300;1170500;1171000;1215
SPFB.RTS-12.18;1;04.10.2018;0;1171100;1171400;1170700;1170900;578
SPFB.RTS-12.18;1;04.10.2018;0;1170800;1171100;1170300;1170300;862
SPFB.RTS-12.18;1;04.10.2018;0;1170300;1170600;1168600;1169400;4385
SPFB.RTS-12.18;1;04.10.2018;0;1169400;1169900;1168900;1169700;1359
SPFB.RTS-12.18;1;04.10.2018;0;1169700;1170600;1169300;1170300;1565
SPFB.RTS-12.18;1;04.10.2018;0;1170300;1170500;1169800;1170300;1111
SPFB.RTS-12.18;1;04.10.2018;0;1170300;1171000;1170000;1171000;937
SPFB.RTS-12.18;1;04.10.2018;0;1171000;1171000;1170500;1170700;431
SPFB.RTS-12.18;1;04.10.2018;0;1170700;1170700;1170200;1170500;460
SPFB.RTS-12.18;1;04.10.2018;0;1170400;1170900;1170300;1170600;539
SPFB.RTS-12.18;1;04.10.2018;0;1170600;1171700;1170500;1171400;1021
SPFB.RTS-12.18;1;04.10.2018;0;1171400;1171400;1170800;1171000;405
SPFB.RTS-12.18;1;04.10.2018;0;1171000;1171600;1170700;1170700;788
SPFB.RTS-12.18;1;04.10.2018;0;1170800;1170800;1169400;1169600;998
SPFB.RTS-12.18;1;04.10.2018;0;1169500;1169500;1167400;1168500;4903
SPFB.RTS-12.18;1;04.10.2018;0;1168400;1168800;1168200;1168300;931
SPFB.RTS-12.18;1;04.10.2018;0;1168500;1168500;1167800;1168400;931
SPFB.RTS-12.18;1;04.10.2018;0;1168500;1168700;1167600;1168100;1119
SPFB.RTS-12.18;1;04.10.2018;0;1168000;1168400;1167900;1168400;398
SPFB.RTS-12.18;1;04.10.2018;0;1168300;1169100;1168000;1168900;556
SPFB.RTS-12.18;1;04.10.2018;0;1168800;1168800;1168300;1168400;249
SPFB.RTS-12.18;1;04.10.2018;0;1168600;1168600;1168100;1168600;312
